ID TIME DONE
# Manager.Done #1
1 0.0 0.0
1 16.2749 0.0
1 16.2749 0.0
1 16.9863 1.0
1 16.9863 1.0
1 1000.19 1.0
# Manager.Done #2
2 0.0 0.0
2 26.7668 0.0
2 26.7668 0.0
2 27.4686 1.0
2 27.4686 1.0
2 1002.58 1.0
# Manager.Done #3
3 0.0 0.0
3 38.8993 0.0
3 38.8993 0.0
3 39.2923 1.0
3 39.2923 1.0
3 1000.85 1.0
# Manager.Done #4
4 0.0 0.0
4 21.0089 0.0
4 21.0089 0.0
4 21.5705 1.0
4 21.5705 1.0
4 1000.01 1.0
# Manager.Done #5
5 0.0 0.0
5 29.3536 0.0
5 29.3536 0.0
5 29.8104 1.0
5 29.8104 1.0
5 1000.23 1.0
# Manager.Done #6
6 0.0 0.0
6 9.38519 0.0
6 9.38519 0.0
6 9.77922 1.0
6 9.77922 1.0
6 1000.16 1.0
# Manager.Done #7
7 0.0 0.0
7 14.074 0.0
7 14.074 0.0
7 14.7812 1.0
7 14.7812 1.0
7 1000.14 1.0
# Manager.Done #8
8 0.0 0.0
8 7.32672 0.0
8 7.32672 0.0
8 8.06281 1.0
8 8.06281 1.0
8 1000.79 1.0
# Manager.Done #9
9 0.0 0.0
9 8.96986 0.0
9 8.96986 0.0
9 9.10377 1.0
9 9.10377 1.0
9 1000.08 1.0
# Manager.Done #10
10 0.0 0.0
10 8.20174 0.0
10 8.20174 0.0
10 8.56418 1.0
10 8.56418 1.0
10 1000.19 1.0
# Manager.Done #11
11 0.0 0.0
11 24.1647 0.0
11 24.1647 0.0
11 24.8864 1.0
11 24.8864 1.0
11 1000.39 1.0
# Manager.Done #12
12 0.0 0.0
12 19.5012 0.0
12 19.5012 0.0
12 20.2678 1.0
12 20.2678 1.0
12 1000.79 1.0
# Manager.Done #13
13 0.0 0.0
13 11.3025 0.0
13 11.3025 0.0
13 11.9561 1.0
13 11.9561 1.0
13 1000.24 1.0
# Manager.Done #14
14 0.0 0.0
14 2.99115 0.0
14 2.99115 0.0
14 3.6273 1.0
14 3.6273 1.0
14 1000.11 1.0
# Manager.Done #15
15 0.0 0.0
15 17.3058 0.0
15 17.3058 0.0
