ID TIME DONE
# Manager.Done #1
1 0.0 0.0
1 4.06801 0.0
1 4.06801 0.0
1 4.8003 1.0
1 4.8003 1.0
1 1000.44 1.0
# Manager.Done #2
2 0.0 0.0
2 14.559 0.0
2 14.559 0.0
2 15.335 1.0
2 15.335 1.0
2 1000.0 1.0
# Manager.Done #3
3 0.0 0.0
3 6.60459 0.0
3 6.60459 0.0
3 7.17828 1.0
3 7.17828 1.0
3 1000.31 1.0
# Manager.Done #4
4 0.0 0.0
4 24.1849 0.0
4 24.1849 0.0
4 24.7075 1.0
4 24.7075 1.0
4 1000.68 1.0
# Manager.Done #5
5 0.0 0.0
5 43.5402 0.0
5 43.5402 0.0
5 44.2593 1.0
5 44.2593 1.0
5 1000.05 1.0
# Manager.Done #6
6 0.0 0.0
6 3.97494 0.0
6 3.97494 0.0
6 4.66741 1.0
6 4.66741 1.0
6 1000.09 1.0
# Manager.Done #7
7 0.0 0.0
7 93.6431 0.0
7 93.6431 0.0
7 94.0875 1.0
7 94.0875 1.0
7 1000.01 1.0
# Manager.Done #8
8 0.0 0.0
8 19.6753 0.0
8 19.6753 0.0
8 20.3833 1.0
8 20.3833 1.0
8 1000.4 1.0
# Manager.Done #9
9 0.0 0.0
9 75.4064 0.0
9 75.4064 0.0
9 76.1575 1.0
9 76.1575 1.0
9 1000.04 1.0
# Manager.Done #10
10 0.0 0.0
10 22.3412 0.0
10 22.3412 0.0
10 23.0231 1.0
10 23.0231 1.0
10 1000.08 1.0
# Manager.Done #11
11 0.0 0.0
11 35.2549 0.0
11 35.2549 0.0
11 35.8072 1.0
11 35.8072 1.0
11 1000.13 1.0
# Manager.Done #12
12 0.0 0.0
12 16.298 0.0
12 16.298 0.0
12 16.7262 1.0
12 16.7262 1.0
12 1000.19 1.0
# Manager.Done #13
13 0.0 0.0
13 13.202 0.0
13 13.202 0.0
13 13.8131 1.0
13 13.8131 1.0
13 1000.31 1.0
# Manager.Done #14
14 0.0 0.0
14 29.3759 0.0
14 29.3759 0.0
14 29.6797 1.0
14 29.6797 1.0
14 1000.01 1.0
# Manager.Done #15
15 0.0 0.0
15 61.5496 0.0
15 61.5496 0.0
