ID TIME DONE
# Manager.Done #1
1 0.0 0.0
1 32.5828 0.0
1 32.5828 0.0
1 33.1689 1.0
1 33.1689 1.0
1 1000.01 1.0
# Manager.Done #2
2 0.0 0.0
2 19.1315 0.0
2 19.1315 0.0
2 19.5099 1.0
2 19.5099 1.0
2 1000.7 1.0
# Manager.Done #3
3 0.0 0.0
3 28.3054 0.0
3 28.3054 0.0
3 29.046 1.0
3 29.046 1.0
3 1000.24 1.0
# Manager.Done #4
4 0.0 0.0
4 14.0196 0.0
4 14.0196 0.0
4 14.2135 1.0
4 14.2135 1.0
4 1000.01 1.0
# Manager.Done #5
5 0.0 0.0
5 6.4613 0.0
5 6.4613 0.0
5 7.15104 1.0
5 7.15104 1.0
5 1000.82 1.0
# Manager.Done #6
6 0.0 0.0
6 25.2373 0.0
6 25.2373 0.0
6 25.4348 1.0
6 25.4348 1.0
6 1000.3 1.0
# Manager.Done #7
7 0.0 0.0
7 58.2634 0.0
7 58.2634 0.0
7 58.7866 1.0
7 58.7866 1.0
7 1000.25 1.0
# Manager.Done #8
8 0.0 0.0
8 43.5149 0.0
8 43.5149 0.0
8 43.5728 1.0
8 43.5728 1.0
8 1000.2 1.0
# Manager.Done #9
9 0.0 0.0
9 4.55756 0.0
9 4.55756 0.0
9 5.17425 1.0
9 5.17425 1.0
9 1000.3 1.0
# Manager.Done #10
10 0.0 0.0
10 18.153 0.0
10 18.153 0.0
10 18.194 1.0
10 18.194 1.0
10 1000.01 1.0
# Manager.Done #11
11 0.0 0.0
11 60.1124 0.0
11 60.1124 0.0
11 60.7585 1.0
11 60.7585 1.0
11 1000.04 1.0
# Manager.Done #12
12 0.0 0.0
12 9.04523 0.0
12 9.04523 0.0
12 9.51063 1.0
12 9.51063 1.0
12 1000.52 1.0
# Manager.Done #13
13 0.0 0.0
13 19.1452 0.0
13 19.1452 0.0
13 19.9152 1.0
13 19.9152 1.0
13 1000.18 1.0
# Manager.Done #14
14 0.0 0.0
14 18.467 0.0
14 18.467 0.0
14 18.89 1.0
14 18.89 1.0
14 1000.96 1.0
# Manager.Done #15
15 0.0 0.0
15 31.2662 0.0
15 31.2662 0.0
